ShareClass ISIN,isin,name,Constituent Country,Constituent Currency ISO Code,weight_percentage,Constituent Rating,Constituent Main Exchange Name,Constituent Industry Classification Name,ticker
IE00BL25JP72,BE0003823409,FINANCIERE DE TUBIZE SA,Belgien,EUR,0.01231076,,Euronext Brussels,Gesundheitswesen,
IE00BL25JP72,CA11285B1085,CA11285B1085,Kanada,CAD,0.012138389999999999,,,Versorgungsunternehmen,
IE00BL25JP72,ES0124244E34,MAPFRE SA,Spanien,EUR,0.01093811,Baa1,Mercado Continuo Espana,Finanzen,
IE00BL25JP72,_CURRENCYHKD,HONG KONG DOLLAR,Hong Kong,HKD,0.00930699,,,unbekannt,
IE00BL25JP72,_CURRENCYJPY,JAPANESE YEN,Japan,JPY,0.008572419999999999,,,unbekannt,
IE00BL25JP72,CA4495861060,IGM FINANCIAL INC,Kanada,CAD,0.007529349999999999,A1,Toronto Stock Exchange,Finanzen,
IE00BL25JP72,_CURRENCYILS,NEW ISRAELI SHEQEL,Israel,ILS,0.00649547,,,unbekannt,
IE00BL25JP72,_CURRENCYCAD,CANADIAN DOLLAR,Kanada,CAD,0.00538497,,,unbekannt,
IE00BL25JP72,_CURRENCYNZD,NEW ZEALAND DOLLAR,Neuseeland,NZD,0.00524593,,,unbekannt,
IE00BL25JP72,_CURRENCYCHF,SWISS FRANC,Schweiz,CHF,0.0051645,,,unbekannt,
IE00BL25JP72,_CURRENCYAUD,AUSTRALIAN DOLLAR,Australien,AUD,0.0050962099999999995,,,unbekannt,
IE00BL25JP72,_CURRENCYDKK,DANISH KRONE,DÃ¤nemark,DKK,0.00500811,,,unbekannt,
IE00BL25JP72,_CURRENCYGBP,POUND STERLING,GroÃbritannien (UK),GBP,0.00500561,,,unbekannt,
IE00BL25JP72,_CURRENCYSGD,SINGAPORE DOLLAR,Singapur,SGD,0.00500237,,,unbekannt,
IE00BL25JP72,_CURRENCYSEK,SWEDISH KRONA,Schweden,SEK,0.00375537,,,unbekannt,
IE00BL25JP72,_CURRENCYNOK,NORWEGIAN KRONE,Norwegen,NOK,0.0017068300000000001,,,unbekannt,
IE00BL25JP72,___ADI2VCCK1,MSCI WORLD INDEX  MAR26,Deutschland,USD,0.0,,,unbekannt,
IE00BL25JP72,CA21037X1345,CONSTELLATION SOFTWARE INC,Kanada,CAD,0.0,,,unbekannt,
IE00BL25JP72,___ADI2TZ6X2,NASDAQ 100 E-MINI DEC25,Vereinigte Staaten von Amerika,USD,0.0,,,unbekannt,
